Date,Open,High,Low,Close,Volume,Ticker
01-04-09,0.74,0.76,0.72,0.76,847700,HPG
02-04-09,0.77,0.79,0.76,0.79,1062630,HPG
03-04-09,0.83,0.83,0.83,0.83,537350,HPG
07-04-09,0.83,0.87,0.82,0.87,1363750,HPG
08-04-09,0.86,0.91,0.83,0.83,1407720,HPG
09-04-09,0.84,0.84,0.81,0.83,1086980,HPG
10-04-09,0.87,0.87,0.87,0.87,195030,HPG
13-04-09,0.91,0.91,0.91,0.91,151470,HPG
14-04-09,0.94,0.96,0.91,0.96,2152950,HPG
15-04-09,0.95,0.99,0.92,0.92,1460240,HPG
16-04-09,0.97,0.97,0.93,0.97,1684190,HPG
17-04-09,0.94,0.98,0.92,0.94,1313930,HPG
20-04-09,0.9,0.91,0.89,0.9,1609860,HPG
21-04-09,0.85,0.94,0.85,0.94,1635550,HPG
22-04-09,0.98,0.98,0.95,0.98,1493650,HPG
23-04-09,0.99,1.01,0.98,0.98,943540,HPG
24-04-09,0.95,0.97,0.93,0.97,753580,HPG
27-04-09,0.97,0.98,0.94,0.95,795590,HPG
28-04-09,0.95,0.98,0.95,0.96,775550,HPG
29-04-09,0.97,0.97,0.96,0.97,948860,HPG
04-05-09,1.02,1.02,1.02,1.02,258290,HPG
05-05-09,1.07,1.07,1.07,1.07,422480,HPG
06-05-09,1.11,1.12,1.07,1.11,4340760,HPG
07-05-09,1.16,1.16,1.14,1.16,1688560,HPG
08-05-09,1.17,1.22,1.16,1.18,1572660,HPG
11-05-09,1.2,1.22,1.18,1.2,1762600,HPG
12-05-09,1.2,1.24,1.16,1.24,1504600,HPG
13-05-09,1.23,1.25,1.18,1.18,1891480,HPG
14-05-09,1.13,1.18,1.12,1.18,1862110,HPG
15-05-09,1.2,1.23,1.18,1.23,1441850,HPG
18-05-09,1.17,1.23,1.17,1.19,800090,HPG
19-05-09,1.24,1.24,1.19,1.2,1296650,HPG
20-05-09,1.26,1.26,1.24,1.26,4389640,HPG
21-05-09,1.26,1.26,1.22,1.23,1061320,HPG
22-05-09,1.19,1.22,1.18,1.19,1223140,HPG
25-05-09,1.22,1.24,1.2,1.24,1047770,HPG
26-05-09,1.24,1.25,1.2,1.2,1098870,HPG
27-05-09,1.2,1.22,1.19,1.19,1206590,HPG
28-05-09,1.16,1.19,1.15,1.15,1033500,HPG
29-05-09,1.18,1.18,1.14,1.17,851340,HPG
01-06-09,1.2,1.22,1.18,1.22,945340,HPG
02-06-09,1.28,1.28,1.25,1.26,2225330,HPG
03-06-09,1.26,1.28,1.24,1.26,1219760,HPG
04-06-09,1.28,1.32,1.28,1.31,1859360,HPG
05-06-09,1.37,1.37,1.36,1.37,7228260,HPG
08-06-09,1.43,1.43,1.42,1.43,2532860,HPG
09-06-09,1.49,1.49,1.43,1.49,2708700,HPG
10-06-09,1.44,1.44,1.44,1.42,2680320,HPG
11-06-09,1.46,1.46,1.42,1.48,2548860,HPG
12-06-09,1.53,1.53,1.42,1.43,2074070,HPG
15-06-09,1.37,1.42,1.37,1.37,2049850,HPG
16-06-09,1.31,1.35,1.31,1.31,1935800,HPG
17-06-09,1.28,1.37,1.28,1.37,2246710,HPG
18-06-09,1.41,1.41,1.34,1.38,1179120,HPG
19-06-09,1.42,1.42,1.36,1.38,2081940,HPG
22-06-09,1.35,1.36,1.32,1.32,1718880,HPG
23-06-09,1.26,1.3,1.26,1.26,2826180,HPG
24-06-09,1.32,1.32,1.31,1.32,815830,HPG
25-06-09,1.38,1.38,1.32,1.34,1756550,HPG
26-06-09,1.34,1.36,1.32,1.36,854380,HPG
29-06-09,1.36,1.38,1.35,1.36,1019420,HPG
30-06-09,1.37,1.37,1.3,1.3,1444550,HPG
01-07-09,1.25,1.29,1.24,1.26,1350880,HPG
02-07-09,1.29,1.32,1.26,1.31,1068280,HPG
03-07-09,1.3,1.32,1.29,1.32,753950,HPG
06-07-09,1.35,1.38,1.34,1.38,1281640,HPG
07-07-09,1.37,1.4,1.35,1.36,841980,HPG
08-07-09,1.36,1.37,1.35,1.36,766510,HPG
09-07-09,1.36,1.38,1.35,1.37,553520,HPG
10-07-09,1.36,1.37,1.32,1.34,789030,HPG
13-07-09,1.32,1.32,1.29,1.3,637410,HPG
14-07-09,1.3,1.3,1.26,1.29,697720,HPG
15-07-09,1.31,1.34,1.3,1.31,425680,HPG
16-07-09,1.35,1.35,1.31,1.32,569320,HPG
17-07-09,1.32,1.35,1.31,1.32,472240,HPG
20-07-09,1.29,1.3,1.28,1.29,437790,HPG
21-07-09,1.3,1.32,1.29,1.3,566010,HPG
22-07-09,1.34,1.34,1.3,1.32,682720,HPG
23-07-09,1.32,1.37,1.31,1.37,899630,HPG
24-07-09,1.43,1.43,1.43,1.43,793230,HPG
27-07-09,1.48,1.49,1.42,1.48,2731330,HPG
28-07-09,1.47,1.48,1.41,1.42,1137800,HPG
29-07-09,1.43,1.46,1.4,1.4,965360,HPG
30-07-09,1.37,1.4,1.35,1.37,678040,HPG
31-07-09,1.41,1.43,1.38,1.43,1044120,HPG
03-08-09,1.42,1.44,1.41,1.42,671750,HPG
04-08-09,1.44,1.44,1.42,1.44,1020380,HPG
05-08-09,1.43,1.47,1.42,1.47,1138690,HPG
06-08-09,1.47,1.5,1.47,1.47,1700250,HPG
07-08-09,1.47,1.49,1.47,1.49,1077290,HPG
10-08-09,1.52,1.56,1.5,1.55,1247550,HPG
11-08-09,1.54,1.63,1.54,1.63,1717240,HPG
12-08-09,1.65,1.67,1.63,1.65,1159280,HPG
13-08-09,1.66,1.69,1.65,1.67,1365350,HPG
14-08-09,1.65,1.67,1.64,1.65,1330390,HPG
17-08-09,1.64,1.65,1.61,1.63,1338920,HPG
18-08-09,1.61,1.65,1.6,1.63,1184350,HPG
19-08-09,1.66,1.67,1.64,1.67,782570,HPG
20-08-09,1.69,1.69,1.66,1.67,747250,HPG
21-08-09,1.7,1.73,1.67,1.67,1463830,HPG
24-08-09,1.67,1.71,1.67,1.7,1032460,HPG
25-08-09,1.69,1.71,1.67,1.67,978780,HPG
26-08-09,1.69,1.7,1.66,1.67,914610,HPG
27-08-09,1.67,1.69,1.66,1.66,720670,HPG
28-08-09,1.67,1.69,1.66,1.69,605860,HPG
31-08-09,1.67,1.71,1.67,1.67,1464500,HPG
01-09-09,1.67,1.69,1.66,1.67,1055280,HPG
03-09-09,1.66,1.69,1.65,1.66,715120,HPG
04-09-09,1.63,1.67,1.63,1.63,992060,HPG
07-09-09,1.61,1.63,1.56,1.61,864620,HPG
08-09-09,1.69,1.69,1.64,1.69,1052940,HPG
09-09-09,1.76,1.77,1.72,1.76,2937040,HPG
10-09-09,1.73,1.77,1.72,1.73,940690,HPG
11-09-09,1.75,1.75,1.71,1.71,1125240,HPG
14-09-09,1.7,1.72,1.69,1.7,1261790,HPG
15-09-09,1.71,1.71,1.66,1.69,1499430,HPG
16-09-09,1.69,1.7,1.66,1.66,1508880,HPG
17-09-09,1.66,1.67,1.64,1.66,1239650,HPG
18-09-09,1.65,1.67,1.65,1.66,1041030,HPG
21-09-09,1.7,1.73,1.7,1.73,3473740,HPG
22-09-09,1.78,1.78,1.73,1.73,2063940,HPG
23-09-09,1.78,1.82,1.77,1.78,2862390,HPG
24-09-09,1.78,1.81,1.75,1.76,1703610,HPG
25-09-09,1.73,1.77,1.73,1.75,1434430,HPG
28-09-09,1.77,1.77,1.73,1.73,1801270,HPG
29-09-09,1.75,1.76,1.72,1.75,1876300,HPG
30-09-09,1.76,1.76,1.72,1.72,879360,HPG
01-10-09,1.72,1.73,1.69,1.69,1161970,HPG
02-10-09,1.64,1.66,1.6,1.64,2132700,HPG
05-10-09,1.66,1.67,1.61,1.63,1168410,HPG
06-10-09,1.64,1.65,1.61,1.63,881250,HPG
07-10-09,1.64,1.7,1.64,1.7,1175660,HPG
08-10-09,1.7,1.71,1.67,1.7,692310,HPG
09-10-09,1.73,1.73,1.7,1.72,754780,HPG
12-10-09,1.77,1.81,1.73,1.79,2136880,HPG
13-10-09,1.78,1.79,1.75,1.75,802630,HPG
14-10-09,1.75,1.83,1.75,1.81,1594380,HPG
15-10-09,1.88,1.88,1.83,1.84,1985730,HPG
16-10-09,1.84,1.86,1.79,1.79,1699760,HPG
19-10-09,1.82,1.82,1.78,1.79,1058700,HPG
20-10-09,1.82,1.84,1.82,1.83,1193130,HPG
21-10-09,1.83,1.87,1.82,1.87,1769760,HPG
22-10-09,1.95,1.95,1.93,1.95,2444950,HPG
23-10-09,2.05,2.05,1.99,1.99,3326630,HPG
26-10-09,2.04,2.06,1.97,1.98,1987380,HPG
27-10-09,1.95,1.95,1.88,1.94,2253900,HPG
28-10-09,1.95,1.95,1.9,1.92,1007300,HPG
29-10-09,1.92,1.92,1.83,1.88,3021360,HPG
30-10-09,1.9,1.93,1.86,1.88,1799490,HPG
02-11-09,1.79,1.81,1.79,1.79,1329940,HPG
03-11-09,1.78,1.78,1.71,1.72,2877530,HPG
04-11-09,1.72,1.76,1.66,1.68,1363890,HPG
05-11-09,1.68,1.72,1.66,1.7,1504470,HPG
06-11-09,1.73,1.73,1.66,1.66,1019470,HPG
09-11-09,1.64,1.65,1.59,1.59,863630,HPG
10-11-09,1.59,1.6,1.51,1.53,1349750,HPG
11-11-09,1.56,1.6,1.5,1.6,1003180,HPG
12-11-09,1.62,1.67,1.6,1.66,1490540,HPG
13-11-09,1.62,1.7,1.62,1.7,1298010,HPG
16-11-09,1.68,1.71,1.65,1.65,662860,HPG
17-11-09,1.65,1.67,1.62,1.64,662490,HPG
