Date,Open,High,Low,Close,Volume,Ticker
01-04-09,1.13,1.19,1.1,1.19,360900,VIC
02-04-09,1.19,1.2,1.17,1.18,359180,VIC
03-04-09,1.23,1.23,1.22,1.23,165230,VIC
07-04-09,1.29,1.29,1.24,1.29,313750,VIC
08-04-09,1.29,1.35,1.24,1.25,523000,VIC
09-04-09,1.25,1.27,1.19,1.19,350800,VIC
10-04-09,1.25,1.25,1.25,1.25,136280,VIC
13-04-09,1.32,1.32,1.32,1.32,86540,VIC
14-04-09,1.3,1.36,1.27,1.32,426080,VIC
15-04-09,1.25,1.3,1.25,1.25,226180,VIC
16-04-09,1.25,1.25,1.2,1.25,289920,VIC
17-04-09,1.22,1.24,1.19,1.19,205850,VIC
20-04-09,1.13,1.13,1.13,1.13,209900,VIC
21-04-09,1.07,1.07,1.07,1.07,278550,VIC
22-04-09,1.13,1.13,1.09,1.13,179050,VIC
23-04-09,1.09,1.13,1.08,1.11,188790,VIC
24-04-09,1.07,1.09,1.07,1.09,91920,VIC
27-04-09,1.13,1.14,1.12,1.13,121800,VIC
28-04-09,1.07,1.14,1.07,1.13,68600,VIC
29-04-09,1.13,1.13,1.1,1.13,80160,VIC
04-05-09,1.19,1.19,1.19,1.19,23560,VIC
05-05-09,1.25,1.25,1.25,1.25,120020,VIC
06-05-09,1.18,1.25,1.18,1.19,195210,VIC
07-05-09,1.23,1.24,1.22,1.22,93220,VIC
08-05-09,1.16,1.22,1.16,1.19,60740,VIC
11-05-09,1.24,1.25,1.22,1.24,181670,VIC
12-05-09,1.24,1.3,1.23,1.3,107700,VIC
13-05-09,1.24,1.3,1.24,1.24,120240,VIC
14-05-09,1.19,1.27,1.19,1.27,87050,VIC
15-05-09,1.3,1.32,1.27,1.32,120870,VIC
18-05-09,1.32,1.33,1.3,1.3,102160,VIC
19-05-09,1.37,1.37,1.37,1.37,176850,VIC
20-05-09,1.43,1.43,1.43,1.43,62030,VIC
21-05-09,1.5,1.5,1.5,1.5,38170,VIC
22-05-09,1.57,1.57,1.46,1.57,289500,VIC
25-05-09,1.64,1.64,1.64,1.64,55220,VIC
26-05-09,1.71,1.71,1.71,1.71,37440,VIC
27-05-09,1.8,1.8,1.8,1.8,26810,VIC
28-05-09,1.88,1.88,1.81,1.88,359390,VIC
29-05-09,1.97,1.97,1.82,1.89,157610,VIC
01-06-09,1.82,1.94,1.82,1.87,173360,VIC
02-06-09,1.95,1.95,1.94,1.94,110190,VIC
03-06-09,1.94,1.94,1.89,1.94,167980,VIC
04-06-09,1.97,2.02,1.97,2.02,107820,VIC
05-06-09,2.12,2.12,2.12,2.12,54890,VIC
08-06-09,2.22,2.22,2.22,2.22,32360,VIC
09-06-09,2.23,2.26,2.14,2.21,138430,VIC
10-06-09,2.11,2.11,2.11,2.11,108150,VIC
11-06-09,2.06,2.11,2.06,2.21,65310,VIC
12-06-09,2.3,2.3,2.11,2.18,45370,VIC
15-06-09,2.11,2.15,2.08,2.08,71420,VIC
16-06-09,1.98,1.98,1.98,1.98,81370,VIC
17-06-09,1.88,2.04,1.88,1.99,129400,VIC
18-06-09,1.99,2.04,1.95,2.02,158720,VIC
19-06-09,2.09,2.09,2.02,2.08,150290,VIC
22-06-09,2.18,2.18,2.09,2.18,203780,VIC
23-06-09,2.12,2.18,2.08,2.08,74390,VIC
24-06-09,2.18,2.18,2.15,2.18,120850,VIC
25-06-09,2.28,2.28,2.09,2.16,185410,VIC
26-06-09,2.19,2.25,2.16,2.21,161090,VIC
29-06-09,2.23,2.23,2.19,2.21,105480,VIC
30-06-09,2.18,2.21,2.11,2.11,98830,VIC
01-07-09,2.01,2.06,2.01,2.01,51990,VIC
02-07-09,2.11,2.11,2.11,2.11,37850,VIC
03-07-09,2.21,2.21,2.17,2.21,210630,VIC
06-07-09,2.24,2.31,2.19,2.26,160760,VIC
07-07-09,2.16,2.22,2.15,2.15,103600,VIC
08-07-09,2.05,2.11,2.05,2.05,115670,VIC
09-07-09,2.05,2.12,2.04,2.04,34500,VIC
10-07-09,2.0,2.02,1.97,1.97,47010,VIC
13-07-09,1.91,1.93,1.88,1.88,41560,VIC
14-07-09,1.9,1.9,1.79,1.89,99540,VIC
15-07-09,1.9,1.93,1.89,1.91,19530,VIC
16-07-09,2.0,2.0,1.91,1.98,38430,VIC
17-07-09,1.97,2.04,1.96,2.02,61980,VIC
20-07-09,1.95,1.96,1.92,1.92,53450,VIC
21-07-09,1.97,1.97,1.92,1.93,34740,VIC
22-07-09,2.02,2.02,2.02,2.02,44420,VIC
23-07-09,2.12,2.12,2.1,2.12,100070,VIC
24-07-09,2.23,2.23,2.23,2.23,14140,VIC
27-07-09,2.33,2.33,2.33,2.33,44510,VIC
28-07-09,2.45,2.45,2.45,2.45,148200,VIC
29-07-09,2.56,2.56,2.49,2.49,325890,VIC
30-07-09,2.38,2.38,2.38,2.38,103030,VIC
31-07-09,2.29,2.49,2.29,2.45,107360,VIC
03-08-09,2.38,2.51,2.38,2.42,29250,VIC
04-08-09,2.42,2.47,2.38,2.38,61100,VIC
05-08-09,2.36,2.42,2.36,2.4,36860,VIC
06-08-09,2.47,2.51,2.47,2.47,173700,VIC
07-08-09,2.49,2.51,2.47,2.47,78630,VIC
10-08-09,2.49,2.51,2.47,2.49,50420,VIC
11-08-09,2.47,2.51,2.45,2.45,46830,VIC
12-08-09,2.42,2.47,2.42,2.47,50630,VIC
13-08-09,2.49,2.51,2.47,2.51,78900,VIC
14-08-09,2.54,2.54,2.47,2.51,27690,VIC
17-08-09,2.47,2.51,2.45,2.45,33260,VIC
18-08-09,2.45,2.49,2.42,2.49,30400,VIC
19-08-09,2.49,2.54,2.47,2.54,67050,VIC
20-08-09,2.54,2.56,2.51,2.51,55800,VIC
21-08-09,2.56,2.58,2.47,2.47,110920,VIC
24-08-09,2.54,2.58,2.51,2.58,207640,VIC
25-08-09,2.69,2.69,2.67,2.69,340430,VIC
26-08-09,2.78,2.83,2.74,2.74,328480,VIC
27-08-09,2.76,2.78,2.69,2.74,153420,VIC
28-08-09,2.78,2.81,2.72,2.81,194370,VIC
31-08-09,2.9,2.9,2.81,2.9,330060,VIC
01-09-09,2.83,2.92,2.83,2.83,155950,VIC
03-09-09,2.74,2.81,2.74,2.74,76170,VIC
04-09-09,2.65,2.78,2.65,2.65,100520,VIC
07-09-09,2.56,2.6,2.54,2.56,121200,VIC
08-09-09,2.67,2.67,2.63,2.67,154160,VIC
09-09-09,2.65,2.69,2.6,2.65,65900,VIC
10-09-09,2.67,2.67,2.6,2.67,43660,VIC
11-09-09,2.72,2.74,2.67,2.67,83980,VIC
14-09-09,2.76,2.76,2.65,2.69,175390,VIC
15-09-09,2.69,2.69,2.6,2.6,111670,VIC
16-09-09,2.58,2.65,2.58,2.58,78400,VIC
17-09-09,2.58,2.65,2.56,2.63,123390,VIC
18-09-09,2.63,2.65,2.6,2.65,111910,VIC
21-09-09,2.69,2.76,2.65,2.76,96900,VIC
22-09-09,2.9,2.9,2.9,2.9,90190,VIC
23-09-09,3.03,3.03,3.03,3.03,213410,VIC
24-09-09,2.94,3.03,2.9,2.94,336700,VIC
25-09-09,2.87,3.01,2.87,3.01,169710,VIC
28-09-09,3.01,3.01,2.92,2.96,119100,VIC
29-09-09,2.96,2.96,2.87,2.94,131210,VIC
30-09-09,2.94,2.94,2.87,2.87,121720,VIC
01-10-09,3.01,3.01,2.85,2.85,116420,VIC
02-10-09,2.85,2.85,2.74,2.76,69310,VIC
05-10-09,2.76,2.87,2.76,2.85,65960,VIC
06-10-09,2.99,2.99,2.94,2.96,231980,VIC
07-10-09,2.94,3.01,2.94,2.99,109390,VIC
08-10-09,2.96,2.99,2.9,2.9,59630,VIC
09-10-09,3.01,3.03,2.99,3.03,146710,VIC
12-10-09,3.03,3.17,3.03,3.12,240400,VIC
13-10-09,3.12,3.14,3.08,3.14,158190,VIC
14-10-09,3.14,3.28,3.08,3.23,198440,VIC
15-10-09,3.39,3.39,3.25,3.39,128150,VIC
16-10-09,3.34,3.39,3.23,3.37,235680,VIC
19-10-09,3.37,3.39,3.28,3.39,202230,VIC
20-10-09,3.48,3.55,3.46,3.55,262620,VIC
21-10-09,3.55,3.68,3.55,3.64,128250,VIC
22-10-09,3.57,3.64,3.55,3.64,289460,VIC
23-10-09,3.82,3.82,3.68,3.82,452120,VIC
26-10-09,3.95,3.97,3.91,3.91,183000,VIC
27-10-09,3.82,3.82,3.73,3.82,229550,VIC
28-10-09,3.86,3.86,3.73,3.82,141680,VIC
29-10-09,3.68,3.73,3.64,3.73,196400,VIC
30-10-09,3.79,3.82,3.73,3.82,143230,VIC
02-11-09,3.68,3.77,3.64,3.68,246230,VIC
03-11-09,3.73,3.73,3.52,3.52,119110,VIC
04-11-09,3.59,3.68,3.59,3.68,197230,VIC
05-11-09,3.86,3.86,3.86,3.86,75700,VIC
06-11-09,4.04,4.04,3.95,4.04,271570,VIC
09-11-09,4.02,4.09,4.02,4.04,122730,VIC
10-11-09,4.18,4.22,4.0,4.18,114150,VIC
11-11-09,4.31,4.38,4.31,4.38,86080,VIC
12-11-09,4.49,4.58,4.49,4.58,161560,VIC
13-11-09,4.58,4.62,4.49,4.62,183080,VIC
16-11-09,4.85,4.85,4.8,4.85,190440,VIC
17-11-09,5.03,5.03,4.85,5.03,444440,VIC
18-11-09,5.03,5.12,4.89,4.94,599030,VIC
19-11-09,4.8,4.94,4.71,4.85,426010,VIC
20-11-09,4.85,5.03,4.71,5.03,195130,VIC
23-11-09,4.94,4.94,4.8,4.94,122000,VIC
24-11-09,4.94,5.03,4.85,4.98,73070,VIC
25-11-09,4.94,4.94,4.76,4.85,73500,VIC
26-11-09,4.62,5.07,4.62,5.07,139450,VIC
27-11-09,4.85,5.16,4.85,5.03,127600,VIC
30-11-09,5.16,5.25,4.98,5.25,104680,VIC
01-12-09,5.25,5.25,5.12,5.16,129550,VIC
02-12-09,5.07,5.12,4.98,5.03,44700,VIC
03-12-09,4.89,5.03,4.8,4.94,82200,VIC
04-12-09,4.94,4.94,4.71,4.76,265970,VIC
07-12-09,4.76,4.76,4.58,4.71,196900,VIC
08-12-09,4.58,4.71,4.53,4.71,270030,VIC
09-12-09,4.62,4.71,4.49,4.62,33670,VIC
10-12-09,4.62,4.62,4.44,4.62,95520,VIC
11-12-09,4.49,4.67,4.4,4.67,67400,VIC
14-12-09,4.76,4.85,4.67,4.76,72360,VIC
15-12-09,4.76,4.76,4.53,4.53,102670,VIC
16-12-09,4.35,4.35,4.31,4.31,99920,VIC
17-12-09,4.11,4.18,4.11,4.18,164980,VIC
18-12-09,3.97,4.09,3.97,3.97,154510,VIC
21-12-09,4.13,4.15,3.88,4.15,23770,VIC
22-12-09,4.35,4.35,4.26,4.35,20950,VIC
23-12-09,4.44,4.53,4.15,4.53,21280,VIC
